,I,TRADING,VWAFCASPRICES,1,SETTLEMENTDATE,RUNNO,LOWER5MINVWAPRICE,LOWER5MINVOLUME,LOWER5MINREVENUE,LOWER6SECVWAPRICE,LOWER6SECVOLUME,LOWER6SECREVENUE,LOWER60SECVWAPRICE,LOWER60SECVOLUME,LOWER60SECREVENUE,LOWERREGVWAPRICE,LOWERREGVOLUME,LOWERREGREVENUE,RAISE5MINVWAPRICE,RAISE5MINVOLUME,RAISE5MINREVENUE,RAISE6SECVWAPRICE,RAISE6SECVOLUME,RAISE6SECREVENUE,RAISE60SECVWAPRICE,RAISE60SECVOLUME,RAISE60SECREVENUE,RAISEREGVWAPRICE,RAISEREGVOLUME,RAISEREGREVENUE,LASTCHANGED
44,D,TRADING,VWAFCASPRICES,1.0,2021-10-31 11:00:00,1.0,0.2336,116.64,27.24675,0.62169,166.38583,103.43968,7.02231,198.10833,1391.17832,14.4359,105.0,1515.76898,0.30942,182.34,56.41914,2.22678,265.795,591.86818,3.25933,265.79583,866.31709,9.94208,110.0,1093.62833,2021/11/01 04:05:09
45,D,TRADING,VWAFCASPRICES,1.0,2021-10-31 17:00:00,1.0,0.1867,114.21917,21.3246,0.99834,155.56,155.30249,0.97026,188.11,182.51524,18.45,105.0,1937.25,0.75,230.16167,172.62125,6.43443,309.0525,1988.5756,6.64363,309.05333,2053.2368,25.99413,110.00083,2859.376,2021/11/01 04:05:09
46,D,TRADING,VWAFCASPRICES,1.0,2021-10-31 22:00:00,1.0,0.18,112.3775,20.22795,0.47874,152.9525,73.22441,0.93513,184.44417,172.47844,12.405,105.0,1302.525,0.84844,235.43833,199.75441,9.86038,312.505,3081.41712,6.96747,312.50333,2177.35697,14.01455,110.0,1541.6,2021/11/01 04:05:09
47,D,TRADING,VWAFCASPRICES,1.0,2021-11-01 01:00:00,1.0,0.22151,113.99667,25.25135,1.0,157.0125,157.0125,1.03,188.90417,194.57129,15.46698,105.0,1624.03333,0.80027,235.485,188.45111,6.7954,315.395,2143.23417,6.64722,315.39417,2096.49524,21.49989,110.0,2364.98834,2021/11/01 04:05:09
48,C,END OF REPORT,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 09:30:00,1.0,0.68485,83.15667,56.94951,18.60976,195.75,3642.86001,24.07343,204.555,4924.34135,35.3909,130.00083,4600.84627,0.25466,159.41667,40.597,1.66365,278.65167,463.57871,3.89945,309.9975,1208.8184,12.17951,135.0,1644.23333,2021/10/08 04:05:10
1,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 12:00:00,1.0,10.2309,116.24,1189.23994,9.56399,198.65083,1899.89556,67.54925,240.25583,16229.10034,57.46372,130.0,7470.2835,0.07734,139.59917,10.79634,1.74726,279.06333,487.59695,3.24023,295.71833,958.19453,14.91043,135.0,2012.90792,2021/10/08 04:05:10
2,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 13:30:00,1.0,3.98611,115.05583,458.62469,8.17162,197.76833,1616.08861,45.89244,238.71917,10955.40421,39.85513,130.0,5181.16653,0.06011,137.12833,8.2423,3.73194,277.84,1036.8816,4.97736,294.13583,1464.021,10.03802,135.0,1355.13284,2021/10/08 04:05:10
3,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 14:00:00,1.0,6.49137,116.6375,757.13708,7.70462,196.58,1514.57474,47.451,238.95667,11338.73262,52.34155,130.0,6804.40176,0.26898,160.28333,43.11293,5.7925,299.11,1732.59371,6.44653,315.74667,2035.47004,14.26484,135.00083,1925.76513,2021/10/08 04:05:10
4,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 17:00:00,1.0,0.79914,110.36917,88.20092,1.14682,184.74167,211.86591,1.54632,224.0825,346.50252,16.88962,130.0,2195.65,0.75004,232.83333,174.63488,4.16542,372.05667,1549.77343,5.05781,388.21833,1963.53479,11.62496,148.38167,1724.93138,2021/10/08 04:05:10
5,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 21:00:00,1.0,0.49303,112.34583,55.39005,0.96185,181.33583,174.41873,1.58383,223.28,353.63823,15.90713,130.0,2067.92671,0.75697,242.805,183.7965,5.51576,364.40917,2009.99446,4.54323,379.44333,1723.89858,19.07284,135.0,2574.83333,2021/10/08 04:05:10
