,I,TRADING,VWAFCASPRICES,1,SETTLEMENTDATE,RUNNO,LOWER5MINVWAPRICE,LOWER5MINVOLUME,LOWER5MINREVENUE,LOWER6SECVWAPRICE,LOWER6SECVOLUME,LOWER6SECREVENUE,LOWER60SECVWAPRICE,LOWER60SECVOLUME,LOWER60SECREVENUE,LOWERREGVWAPRICE,LOWERREGVOLUME,LOWERREGREVENUE,RAISE5MINVWAPRICE,RAISE5MINVOLUME,RAISE5MINREVENUE,RAISE6SECVWAPRICE,RAISE6SECVOLUME,RAISE6SECREVENUE,RAISE60SECVWAPRICE,RAISE60SECVOLUME,RAISE60SECREVENUE,RAISEREGVWAPRICE,RAISEREGVOLUME,RAISEREGREVENUE,LASTCHANGED
19,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 18:30:00,1.0,0.25707,108.465,27.88324,1.0,145.38083,145.38083,1.47124,175.23083,257.80593,13.13424,105.0,1379.09502,0.85863,229.60333,197.14462,9.69784,301.36833,2922.62077,10.89528,301.3675,3283.48369,14.38348,110.0,1582.18253,2021/10/30 04:05:02
20,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 22:30:00,1.0,0.2126,112.3125,23.87814,1.0,151.2875,151.2875,1.57078,183.2125,287.78668,10.43001,105.0,1095.15083,0.7585,234.0975,177.56263,23.16974,309.99833,7182.58043,11.85519,309.9975,3675.07784,26.77876,110.00083,2945.6864,2021/10/30 04:05:02
21,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 04:30:00,1.0,0.18337,110.855,20.32737,1.0,158.75917,158.75917,1.06395,186.985,198.94249,11.6,105.0,1218.0,0.72773,235.32,171.24917,6.2989,319.7875,2014.3107,11.04864,331.8775,3666.79511,11.40875,110.0,1254.9625,2021/10/30 04:05:02
22,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 19:00:00,1.0,0.18,108.6575,19.55835,0.90175,144.85167,130.62004,1.02503,175.05167,179.43234,12.44595,105.0,1306.825,0.88,232.11167,204.25827,10.06073,303.50583,3053.49139,11.05396,303.50583,3354.94186,16.80866,110.0,1848.95289,2021/10/30 04:05:02
23,D,TRADING,VWAFCASPRICES,1.0,2021-10-30 04:00:00,1.0,0.49375,116.30667,57.42692,1.0,159.46167,159.46167,1.5836,192.92833,305.52089,12.2972,105.0,1291.206,0.88,237.65917,209.14007,8.78538,319.28083,2805.00427,13.13005,319.2825,4192.19365,19.33833,110.0,2127.21667,2021/10/30 04:05:02
24,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 05:00:00,1.0,0.2241,109.315,24.49739,1.0,157.96083,157.96083,2.1467,188.655,404.98578,11.7404,108.7675,1276.97366,0.76452,239.52,183.118,3.49997,340.72,1192.51102,10.13718,355.50917,3603.86121,8.87187,110.0,975.906,2021/10/30 04:05:02
25,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 06:00:00,1.0,0.18986,107.445,20.39903,0.77795,155.27833,120.79909,2.55495,183.0375,467.65116,8.03137,106.8975,858.53353,0.86747,271.79583,235.77467,2.93101,337.4225,988.98812,7.01281,387.98417,2720.86106,7.18588,110.0,790.44652,2021/10/30 04:05:02
26,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 07:30:00,1.0,0.1756,106.09583,18.63018,0.32081,153.89667,49.37125,0.90225,182.65917,164.80405,10.58344,105.0,1111.26133,0.58411,234.87833,137.19537,3.96203,311.4225,1233.86622,3.34073,319.64917,1067.86285,5.94845,110.0,654.32974,2021/10/30 04:05:02
27,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 08:00:00,1.0,0.18673,110.62333,20.65717,0.99347,152.5725,151.57687,0.57456,182.42167,104.81306,10.5427,105.0,1106.98333,0.77632,230.73167,179.1214,2.64441,308.50167,815.80419,2.26799,312.14,707.92935,6.59436,110.0475,725.69308,2021/10/30 04:05:02
28,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 09:00:00,1.0,0.22961,110.65833,25.40825,1.0,151.85833,151.85833,2.04971,181.95917,372.96262,12.85464,105.0,1349.73726,0.7621,230.48917,175.65541,2.99519,312.05667,934.67031,1.60232,312.96417,501.46997,14.77841,116.175,1716.88221,2021/10/30 04:05:02
29,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 10:30:00,1.0,0.8817,115.28417,101.64617,1.33723,175.37667,234.51842,9.72405,222.7375,2165.90959,17.11245,105.0,1796.80679,0.6973,229.77667,160.22214,2.60452,313.38333,816.2146,2.08652,313.38333,653.88047,20.34141,114.85583,2336.32912,2021/10/30 04:05:02
30,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 13:30:00,1.0,0.99175,114.99417,114.04524,1.18566,176.17167,208.87978,9.81569,223.66333,2195.41037,12.79022,105.0,1342.97296,0.54317,234.02083,127.11205,2.27673,312.76417,712.07878,0.69696,312.765,217.98538,17.72893,110.0,1950.18268,2021/10/30 04:05:02
31,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 17:00:00,1.0,0.53849,113.77583,61.26739,0.95218,158.54167,150.96061,3.24334,203.96417,661.52513,9.98762,105.0,1048.69982,0.75161,230.61583,173.33385,3.1844,304.33917,969.13649,6.86256,304.34,2088.55027,13.96278,110.0,1535.90633,2021/10/30 04:05:02
32,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 17:30:00,1.0,0.93191,110.17667,102.67451,0.92944,158.42667,147.24887,1.89049,192.21833,363.38726,18.30649,113.33333,2074.73531,0.78087,238.62,186.33105,5.19726,335.54583,1743.91839,6.06646,346.45167,2101.7346,19.48567,118.33333,2305.8041,2021/10/30 04:05:02
33,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 22:00:00,1.0,0.2062,111.7075,23.03372,1.0,150.4375,150.4375,1.03,182.0125,187.47288,12.2692,105.00083,1288.27585,0.78011,236.2975,184.33694,11.08947,311.6025,3455.50563,10.58573,311.60417,3298.55909,17.51669,110.00167,1926.86521,2021/10/30 04:05:02
34,D,TRADING,VWAFCASPRICES,1.0,2021-10-30 01:00:00,1.0,0.49355,115.92833,57.21677,1.00697,155.37,156.45342,1.12526,189.68667,213.44669,13.83414,105.00083,1452.59583,0.86667,235.35083,203.9726,27.91449,314.1075,8768.15009,13.97772,314.11167,4390.56552,30.20253,110.00417,3322.40398,2021/10/30 04:05:02
35,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 08:30:00,1.0,0.23361,107.4525,25.1016,1.64074,151.91583,249.25494,2.11544,178.79167,378.22249,12.79177,105.0,1343.1362,0.5522,230.00667,127.00983,3.20035,309.83,991.56353,1.39922,309.82833,433.51935,17.13483,113.4825,1944.50373,2021/10/30 04:05:02
36,D,TRADING,VWAFCASPRICES,1.0,2021-10-30 01:30:00,1.0,0.5713,114.99583,65.69662,1.00227,156.54,156.89573,1.22037,189.57333,231.34999,14.3873,105.0,1510.66667,0.86503,233.7925,202.2377,27.49703,313.3675,8616.67509,15.36257,313.37,4814.16813,27.21908,110.00333,2994.18946,2021/10/30 04:05:02
37,D,TRADING,VWAFCASPRICES,1.0,2021-10-30 02:00:00,1.0,0.44,113.80083,50.07237,1.10382,157.78,174.16003,1.22054,189.2475,230.98481,12.36746,105.0,1298.58333,0.86667,233.06667,201.99207,21.80238,313.50833,6835.22813,15.1,313.51333,4734.05133,27.36607,110.005,3010.40457,2021/10/30 04:05:02
38,D,TRADING,VWAFCASPRICES,1.0,2021-10-30 03:00:00,1.0,0.48362,114.75583,55.49853,1.04247,159.23833,166.00085,1.58298,191.22083,302.69813,10.32016,105.0,1083.61702,0.87667,237.82,208.49035,15.56888,319.28667,4970.93701,15.1,319.2875,4821.24125,25.11795,110.0,2762.97486,2021/10/30 04:05:02
39,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 05:30:00,1.0,0.16789,106.73083,17.91942,0.93075,156.29833,145.47428,7.34129,184.58917,1355.12246,7.44585,108.45,807.50287,0.85198,275.56917,234.78028,6.37219,342.88667,2184.94047,6.47457,381.0725,2467.27998,7.96752,110.0,876.42667,2021/10/30 04:05:02
40,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 06:30:00,1.0,0.15681,105.56333,16.55367,0.33156,153.265,50.81717,1.45939,182.98083,267.03969,7.59312,110.13333,836.25601,0.85157,279.81917,238.28441,7.32062,350.58583,2566.50486,8.47116,394.86333,3344.95025,7.93667,110.0,873.03417,2021/10/30 04:05:02
41,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 09:30:00,1.0,0.6153,110.95167,68.26898,1.00181,163.44667,163.74304,4.12398,202.0875,833.40573,12.6754,104.99917,1330.9062,0.59276,229.49667,136.03723,2.76552,309.305,855.38812,1.50571,309.30583,465.72369,11.8271,112.225,1327.29578,2021/10/30 04:05:02
42,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 12:00:00,1.0,1.6259,117.06167,190.33061,1.69279,178.14167,301.55704,11.06909,225.54167,2496.54124,11.87976,105.0,1247.37473,0.4674,218.06083,101.9222,2.6316,315.28083,829.69364,1.38474,315.28167,436.58418,27.89343,127.6475,3560.52682,2021/10/30 04:05:02
43,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 13:00:00,1.0,3.0994,116.605,361.40576,1.1854,175.22833,207.71622,9.02716,222.7225,2010.55244,11.85752,105.0,1245.03942,0.45132,226.92167,102.414,2.29237,314.91583,721.9028,0.74668,314.91667,235.14118,22.35202,118.99,2659.66709,2021/10/30 04:05:02
44,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 20:00:00,1.0,0.26595,109.40833,29.09716,0.93663,145.6675,136.43667,1.56637,176.37583,276.27028,9.45063,105.0,992.31633,0.85526,229.46833,196.25443,8.28682,301.43333,2497.92237,8.99617,301.43333,2711.74453,12.02287,110.00167,1322.53553,2021/10/30 04:05:02
45,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 20:30:00,1.0,0.30491,110.26083,33.61949,0.90499,146.615,132.68515,1.03,177.89,183.2267,13.42511,105.0,1409.6364,0.83523,232.57583,194.25329,7.31875,305.205,2233.71759,8.37426,305.2075,2555.88801,16.17015,110.00417,1778.78388,2021/10/30 04:05:02
46,D,TRADING,VWAFCASPRICES,1.0,2021-10-29 23:00:00,1.0,0.2096,112.7725,23.63675,1.0,152.125,152.125,1.84203,184.25833,339.40913,10.86,105.0,1140.3,0.75,230.53583,172.90188,19.9343,307.02083,6120.24429,10.69774,307.025,3284.47348,20.37121,110.00333,2240.9011,2021/10/30 04:05:02
47,D,TRADING,VWAFCASPRICES,1.0,2021-10-30 02:30:00,1.0,0.44331,115.2075,51.07252,1.48235,158.635,235.15302,1.2207,191.25167,233.46154,16.40933,105.0,1722.9792,0.84839,236.67667,200.79359,11.2566,317.71917,3576.43912,12.54339,317.72167,3985.30816,20.84401,110.0025,2292.89319,2021/10/30 04:05:02
48,C,END OF REPORT,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 08:00:00,1.0,0.18016,86.6375,15.60823,12.6014,155.94417,1965.11559,22.67296,188.24917,4268.16605,43.79604,133.9775,5867.68391,0.77886,232.86417,181.36925,15.91062,315.44417,5018.91319,4.81581,318.04083,1531.62448,17.81771,114.16667,2034.18855,2021/09/14 04:05:00
1,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 09:00:00,1.0,2.0488,111.275,227.97984,6.89752,158.145,1090.8076,12.37736,189.97333,2351.36898,21.6831,109.16667,2367.07218,0.68809,224.00833,154.13846,10.79029,317.7075,3428.15663,5.60195,329.55667,1846.15881,25.2992,114.16667,2888.325,2021/09/14 04:05:00
2,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 13:00:00,1.0,5.9196,111.27,658.67335,8.43037,156.25667,1317.30216,17.90585,185.6475,3324.17695,18.74566,105.0,1968.29414,0.03445,143.62583,4.94768,4.27848,285.0025,1219.37696,4.56425,285.00333,1300.82587,35.23342,172.915,6092.38706,2021/09/14 04:05:00
3,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 17:00:00,1.0,0.8732,111.2525,97.14568,7.72698,145.23,1122.18911,4.44088,177.91333,790.09261,16.37774,105.00083,1719.67582,0.19082,160.96833,30.71592,6.49724,300.96417,1955.43554,5.66266,300.9625,1704.24847,55.2303,178.33417,9849.44925,2021/09/14 04:05:00
4,D,TRADING,VWAFCASPRICES,1.0,2021-09-14 01:00:00,1.0,0.54011,110.2825,59.56497,0.93503,151.58083,141.73203,2.62179,181.39,475.56603,13.43333,105.0,1410.5,0.84844,234.22167,198.72204,31.01916,310.32667,9626.07133,8.91651,310.33083,2767.06907,29.02626,110.0,3192.88871,2021/09/14 04:05:00
5,D,TRADING,VWAFCASPRICES,1.0,2021-09-14 01:30:00,1.0,0.91756,110.33,101.234,1.1521,152.63083,175.84545,2.7251,182.1725,496.43831,10.81992,105.0,1136.09175,0.86685,235.15167,203.84073,28.45493,311.99333,8877.74715,10.40585,311.99333,3246.55661,26.8072,110.0,2948.7919,2021/09/14 04:05:00
6,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 07:00:00,1.0,0.31655,105.46417,33.38462,0.61,150.38667,91.73587,3.61,181.19417,654.11094,13.29088,110.46,1468.11114,0.79039,234.71833,185.51856,16.17839,309.98417,5015.04429,5.42847,309.9875,1682.75921,17.68111,110.0,1944.9221,2021/09/14 04:05:00
7,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 09:30:00,1.0,0.39848,104.83583,41.77473,3.80685,153.92417,585.96695,6.22318,177.58333,1105.13291,14.81333,105.0,1555.4,0.77498,234.41667,181.66885,6.65304,327.35333,2177.89587,8.43946,339.44833,2864.7604,10.58133,110.0,1163.946,2021/09/14 04:05:00
8,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 15:00:00,1.0,0.89659,102.3375,91.75479,1.92652,153.56667,295.84948,6.07186,174.83333,1061.56347,14.02256,104.99833,1472.34564,0.18448,163.90833,30.23718,5.35012,310.57167,1661.59585,7.99071,310.57083,2481.68041,56.03013,179.16667,10038.73238,2021/09/14 04:05:00
9,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 15:30:00,1.0,2.76969,112.71167,312.17623,20.31115,152.64167,3100.32785,22.10738,184.31333,4074.68403,24.79605,105.00083,2603.60581,0.05052,156.4925,7.90609,2.06188,306.78333,632.54982,2.27152,306.78167,696.86025,46.88131,183.6875,8611.51134,2021/09/14 04:05:00
10,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 16:00:00,1.0,3.72765,112.5875,419.68695,23.59922,150.6475,3555.16392,31.36708,183.03833,5741.37803,32.99533,105.00167,3464.56477,0.18705,164.81833,30.82916,1.90819,308.85583,589.35438,2.49732,308.85333,771.30529,48.30573,178.58417,8626.63898,2021/09/14 04:05:00
11,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 18:00:00,1.0,0.29949,109.99167,32.94165,1.05551,139.51667,147.26064,1.25608,172.05417,216.11412,11.31887,105.0,1188.48111,0.36718,157.8925,57.97518,21.94293,295.87583,6492.38125,7.44311,295.87667,2202.24156,48.6797,180.9225,8807.25378,2021/09/14 04:05:00
12,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 19:30:00,1.0,0.12972,93.4625,12.12357,1.25632,137.20667,172.37523,1.42215,154.50833,219.73473,12.19754,105.0,1280.74215,0.85765,195.76917,167.90183,21.94865,296.50167,6507.81253,26.95877,296.5025,7993.34157,48.52113,144.68917,7020.4817,2021/09/14 04:05:00
13,D,TRADING,VWAFCASPRICES,1.0,2021-09-14 04:00:00,1.0,0.85379,112.83917,96.34095,1.20889,156.96333,189.7515,7.15937,187.71333,1343.90906,11.33333,105.0,1190.0,0.7917,235.59417,186.52033,19.54743,315.465,6166.53114,13.35197,315.46833,4212.12406,25.49211,110.0,2804.13175,2021/09/14 04:05:00
14,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 04:30:00,1.0,0.42671,106.35083,45.38117,1.07667,159.50833,171.73705,9.30086,189.9425,1766.62878,10.6,111.935,1186.511,0.75,237.61917,178.21438,3.12557,319.275,997.91573,4.23386,319.275,1351.76433,9.45459,110.0,1040.00536,2021/09/14 04:05:00
15,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 06:00:00,1.0,0.81994,117.92917,96.69488,0.94651,155.15,146.85127,8.3647,191.53333,1602.11861,10.69713,105.0,1123.1983,0.75843,234.00167,177.47275,7.13367,312.60667,2230.03196,8.16698,312.6075,2553.05787,8.84258,110.0,972.68398,2021/09/14 04:05:00
16,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 13:30:00,1.0,7.07878,112.82167,798.63928,12.29444,155.015,1905.82223,19.61581,186.33083,3655.02954,20.88125,105.00167,2192.56559,0.04367,142.13917,6.207,4.54711,292.15417,1328.45568,4.63435,292.15667,1353.95513,35.23818,182.91333,6445.5328,2021/09/14 04:05:00
17,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 19:00:00,1.0,0.04668,75.82833,3.53939,0.27318,136.0975,37.17948,1.03935,136.0975,141.45232,9.34638,105.0,981.36955,0.5635,172.90167,97.42945,53.45117,292.23083,15620.07937,51.13745,292.23083,14943.93928,109.52242,164.0625,17968.52196,2021/09/14 04:05:00
18,D,TRADING,VWAFCASPRICES,1.0,2021-09-14 00:00:00,1.0,0.32395,110.40667,35.76658,4.65811,149.915,698.32051,3.20622,179.76083,576.35206,9.35868,105.0,982.66134,0.88,232.68083,204.75913,20.76712,307.03417,6376.21488,7.65666,307.03583,2350.8677,31.21849,110.00083,3434.06003,2021/09/14 04:05:00
19,D,TRADING,VWAFCASPRICES,1.0,2021-09-14 03:30:00,1.0,1.02001,112.21583,114.46086,1.28816,156.6075,201.73578,6.68365,186.84167,1248.78472,10.6,105.0,1113.0,0.76676,233.30167,178.88554,19.03498,312.9225,5956.47347,11.3057,312.92583,3537.84423,25.52793,110.0,2808.07181,2021/09/14 04:05:00
20,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 05:00:00,1.0,0.81019,110.90667,89.85541,1.11518,158.70833,176.98873,9.14441,189.1175,1729.36755,10.58366,107.115,1133.669,0.75,234.93083,176.19813,2.41697,316.02833,763.83167,3.17825,316.0275,1004.41532,9.3548,110.0,1029.02796,2021/09/14 04:05:00
21,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 21:00:00,1.0,0.25824,111.835,28.8803,1.58502,141.58333,224.41236,1.33896,175.9425,235.57983,14.77278,105.0,1551.14197,0.88,229.99667,202.39707,17.72202,299.10167,5300.68716,4.91337,299.1025,1469.59998,21.83716,110.0,2402.08723,2021/09/14 04:05:00
22,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 22:00:00,1.0,0.34948,107.76833,37.66298,1.88464,145.00083,273.2743,1.61141,174.26833,280.81777,16.37655,105.0,1719.53764,0.895,231.165,206.89342,19.55624,302.6625,5918.94181,6.08057,302.66333,1840.36608,25.53493,110.0,2808.84267,2021/09/14 04:05:00
23,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 23:00:00,1.0,0.17667,109.39917,19.32715,1.33964,147.66083,197.8121,1.46234,177.76167,259.94787,10.23211,105.0,1074.37125,0.88,231.6425,203.8454,19.87988,305.00417,6063.44687,10.33775,305.00417,3153.05564,34.63287,110.0,3809.61551,2021/09/14 04:05:00
24,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 11:30:00,1.0,12.10617,110.3725,1336.18812,9.88072,191.41,1891.26902,19.40156,227.8925,4421.47068,44.15404,130.0,5740.02571,0.23517,169.61417,39.88762,3.38652,304.63583,1031.65571,3.30874,320.21167,1059.49696,19.98294,140.55167,2808.63562,2021/09/14 04:05:00
25,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 12:00:00,1.0,9.96621,111.555,1111.78064,10.08768,157.84667,1592.30621,14.52418,187.04667,2716.70025,23.04806,105.00083,2420.06537,0.06983,146.09083,10.20163,1.40375,245.12833,344.09851,1.71885,245.12583,421.33342,20.9587,128.56667,2694.59038,2021/09/14 04:05:00
26,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 20:00:00,1.0,0.18,111.99917,20.15985,0.29086,138.5525,40.2994,0.84197,173.98417,146.48888,12.41676,105.0,1303.75945,1.89465,215.81833,408.90057,31.90099,295.90667,9439.71665,13.07709,295.90667,3869.59768,41.24215,123.10083,5076.94265,2021/09/14 04:05:00
27,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 20:30:00,1.0,0.18332,111.4,20.42155,0.36503,140.055,51.12392,1.13799,174.4375,198.50833,11.8,105.0,1239.0,0.88,230.72833,203.04093,21.08246,298.765,6298.70048,9.83879,298.765,2939.48532,29.88444,110.0,3287.28785,2021/09/14 04:05:00
28,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 23:30:00,1.0,0.18,109.55583,19.72005,2.81015,149.13917,419.10348,2.47373,178.49583,441.5498,12.02918,105.0,1263.06361,0.87669,232.78167,204.07778,15.66659,306.71833,4805.23111,6.85872,306.71917,2103.70101,29.77414,110.0,3275.15531,2021/09/14 04:05:00
29,D,TRADING,VWAFCASPRICES,1.0,2021-09-14 02:30:00,1.0,1.02001,112.58583,114.83901,1.83783,155.11667,285.07805,9.17888,186.1675,1708.80973,10.6,105.0,1113.0,0.75,235.98917,176.99188,19.5817,314.57,6159.81595,9.6066,314.5725,3021.97312,28.6206,110.0,3148.26634,2021/09/14 04:05:00
30,D,TRADING,VWAFCASPRICES,1.0,2021-09-14 03:00:00,1.0,0.65687,111.43917,73.20053,1.39193,156.12917,217.32017,7.21364,185.72833,1339.77739,10.6,105.0,1113.0,0.76667,234.44917,179.74529,17.1382,313.7375,5376.89464,13.07303,313.74,4101.531,28.45602,110.00083,3130.18556,2021/09/14 04:05:00
31,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 06:30:00,1.0,0.34711,113.005,39.22497,0.61,152.48667,93.01687,3.32868,185.80333,618.47956,11.58604,106.05833,1228.79582,0.75,231.7075,173.78063,8.66046,308.44583,2671.28359,6.87405,308.4475,2120.28274,11.3567,110.0,1249.237,2021/09/14 04:05:00
32,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 10:00:00,1.0,0.31659,109.83833,34.77418,1.75263,155.20833,272.02342,5.87009,183.485,1077.07376,19.35554,105.0,2032.33117,0.47704,212.28833,101.26978,3.35709,311.95,1047.24543,4.29799,326.5925,1403.69228,9.78516,110.0,1076.3675,2021/09/14 04:05:00
33,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 10:30:00,1.0,1.01684,111.92833,113.81272,10.27625,155.7575,1600.60267,12.24895,185.95833,2277.79359,22.4517,105.0,2357.42868,0.33639,190.98583,64.24512,2.75852,294.775,813.14349,3.29735,310.76667,1024.70612,13.66144,110.0,1502.75819,2021/09/14 04:05:00
34,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 11:00:00,1.0,4.35355,112.36,489.16433,8.15718,162.18083,1322.9383,13.06021,194.03667,2534.15932,29.00406,109.16667,3166.27668,0.34444,193.7225,66.72625,2.94777,311.44667,918.07246,3.27618,327.83167,1074.03503,17.26106,122.45333,2113.67417,2021/09/14 04:05:00
35,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 12:30:00,1.0,5.56393,112.26583,624.6392,16.35055,157.19167,2570.16961,33.9122,187.3,6351.75414,18.94547,105.00083,1989.28987,0.06904,127.5925,8.80875,0.79672,237.87333,189.51847,1.43467,237.87333,341.26913,26.09022,143.19667,3736.03182,2021/09/14 04:05:00
36,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 18:30:00,1.0,0.16312,101.7725,16.60134,0.177,136.5475,24.16871,1.02256,162.35583,166.01807,11.15,105.0,1170.75,0.49333,162.39417,80.11413,155.26372,293.21333,45525.39152,37.88582,293.2125,11108.59511,205.90483,175.23917,36082.59114,2021/09/14 04:05:00
37,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 21:30:00,1.0,1.38009,108.94167,150.34925,4.55362,142.915,650.78077,2.10894,173.98167,366.91627,14.81954,105.0,1556.05143,0.82694,227.89083,188.45193,15.83817,297.92917,4718.65236,6.9476,297.92917,2069.89378,28.27077,110.0,3109.78507,2021/09/14 04:05:00
38,D,TRADING,VWAFCASPRICES,1.0,2021-09-14 00:30:00,1.0,0.45389,112.95417,51.26877,0.42941,150.4275,64.59448,1.67662,183.2525,307.24555,12.44664,105.0,1306.8975,0.83517,230.2,192.25527,25.65822,305.49667,7838.50084,8.03497,305.49833,2454.67041,30.92306,110.0,3401.53705,2021/09/14 04:05:00
39,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 05:30:00,1.0,0.8238,112.105,92.35221,1.19181,157.08167,187.2109,7.52018,188.5325,1417.79907,10.6,106.47,1128.582,0.75,237.05583,177.79188,2.0,317.01083,634.02167,2.43343,317.01083,771.42233,9.76081,110.0,1073.68951,2021/09/14 04:05:00
40,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 08:30:00,1.0,3.17463,102.93417,326.77819,12.38301,156.52583,1938.26111,30.14309,185.7875,5600.20994,28.84006,114.45667,3300.93724,0.72572,222.10417,161.18615,20.55466,305.44417,6278.29985,5.59735,307.98333,1723.89153,18.0971,114.16667,2066.08555,2021/09/14 04:05:00
41,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 14:30:00,1.0,3.3659,112.39,378.29344,23.3987,153.93583,3601.89785,26.63935,185.14417,4932.12013,25.51502,105.0,2679.0766,0.06331,164.01,10.3828,6.74715,312.09667,2105.76164,7.10606,312.09583,2217.771,49.95696,180.33083,9008.78072,2021/09/14 04:05:00
42,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 16:30:00,1.0,2.32828,113.5425,264.35847,4.53581,148.36333,672.94765,5.7131,182.39667,1042.05044,22.38887,105.0,2350.83133,0.16467,161.34417,26.56856,2.0,305.76333,611.52667,2.30313,305.765,704.21571,42.51021,180.56583,7675.89135,2021/09/14 04:05:00
43,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 22:30:00,1.0,0.25159,108.7575,27.36176,5.03091,146.33083,736.17776,1.66194,176.18917,292.81653,10.95316,105.0,1150.08226,0.88,232.61667,204.70267,21.30123,305.045,6497.83387,17.93732,305.045,5471.68903,38.11321,110.0,4192.45362,2021/09/14 04:05:00
44,D,TRADING,VWAFCASPRICES,1.0,2021-09-14 02:00:00,1.0,1.03,112.29417,115.66299,1.59396,153.84167,245.21814,8.09788,184.9825,1497.96533,10.6,105.0,1113.0,0.85035,233.3225,198.40594,22.47503,311.01,6989.95866,14.80648,311.00917,4604.95199,29.45575,110.0,3240.13271,2021/09/14 04:05:00
45,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 07:30:00,1.0,0.18357,96.91167,17.79028,2.14209,149.445,320.12402,5.29163,180.57417,955.531,21.81951,119.055,2597.72195,0.75,233.315,174.98625,4.9445,307.92333,1522.52723,2.54975,307.92333,785.12627,11.85804,110.0,1304.38477,2021/09/14 04:05:00
46,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 14:00:00,1.0,5.33821,113.26917,604.65431,9.16028,155.065,1420.43811,14.77476,186.815,2760.1462,17.87665,105.0,1877.04804,0.06431,160.9925,10.35325,8.1297,312.38917,2539.62993,6.37995,312.3875,1993.01557,48.94623,182.8525,8949.93964,2021/09/14 04:05:00
47,D,TRADING,VWAFCASPRICES,1.0,2021-09-13 17:30:00,1.0,1.99953,106.27583,212.50165,4.01939,142.3375,572.1103,2.46226,170.9125,420.83167,15.44449,105.0,1621.67118,0.28194,156.58833,44.14797,13.4877,299.88333,4044.73633,6.19275,299.88333,1857.10372,56.08051,183.65833,10299.65348,2021/09/14 04:05:00
48,C,END OF REPORT,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
